"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Paul Goldschmidt","STL","158","679","31","102","99","12","9.9%","20.0%",".221",".331",".294",".365",".514",".373",".397","137","2.3","34.7","-7.2","5.0","9218"
"Shohei Ohtani","LAA","158","639","46","103","100","26","15.0%","29.6%",".335",".303",".257",".372",".592",".393",".411","151","2.5","42.1","-13.6","5.0","19755"
"Brandon Lowe","TBR","149","615","39","97","99","7","11.1%","27.2%",".277",".280",".247",".340",".523",".363",".360","137","4.9","32.7","-4.4","4.9","18882"
"Freddie Freeman","ATL","159","695","31","120","83","8","12.2%","15.4%",".203",".321",".300",".393",".503",".379",".416","135","3.3","34.6","-9.6","4.8","5361"
"Max Muncy","LAD","144","592","36","95","94","2","14.0%","20.3%",".278",".257",".249",".368",".527",".379",".407","139","2.1","31.6","-3.7","4.8","13301"
"Austin Riley","ATL","160","662","33","91","107","0","7.9%","25.4%",".227",".368",".303",".367",".531",".379",".366","136","-4.1","26.0","-1.2","4.7","18360"
"Tim Anderson","CHW","123","551","17","94","61","18","4.0%","21.6%",".159",".372",".309",".338",".469",".345",".329","119","6.1","18.8","9.0","4.7","15172"
"Kyle Tucker","HOU","140","567","30","83","92","14","9.3%","15.9%",".263",".304",".294",".359",".557",".383",".396","145","2.4","34.0","-7.3","4.6","18345"
"J.T. Realmuto","PHI","134","537","17","64","73","13","8.9%","24.0%",".176",".325",".263",".343",".439",".336",".329","108","5.5","11.1","15.6","4.5","11739"
"Xander Bogaerts","BOS","144","603","23","90","79","5","10.3%","18.7%",".198",".333",".295",".370",".493",".368",".359","130","1.2","23.1","-0.2","4.4","12161"
"Teoscar Hernandez","TOR","143","595","32","92","116","12","6.1%","24.9%",".227",".352",".296",".346",".524",".369",".370","132","2.3","25.5","-3.0","4.3","13066"
"Manny Machado","SDP","153","640","28","92","106","12","9.8%","15.9%",".211",".290",".278",".347",".489",".350",".376","122","-2.1","16.1","4.9","4.3","11493"
"Francisco Lindor","NYM","125","524","20","73","63","10","11.1%","18.3%",".181",".248",".230",".322",".412",".317",".345","103","2.0","4.0","20.8","4.2","12916"
"Rafael Devers","BOS","156","664","38","101","113","5","9.3%","21.5%",".259",".307",".279",".352",".538",".373",".394","133","0.1","26.9","-7.3","4.2","17350"
"Justin Turner","LAD","151","612","27","87","87","3","10.0%","16.0%",".193",".292",".278",".361",".471",".358",".359","126","-1.0","19.3","2.3","4.2","5235"
"Joey Gallo","- - -","153","616","38","90","77","6","18.0%","34.6%",".259",".246",".199",".351",".458",".348",".354","122","4.2","20.9","0.0","4.2","14128"
"Jorge Polanco","MIN","152","644","33","97","98","11","7.0%","18.3%",".235",".282",".269",".323",".503",".349",".348","124","3.1","21.8","-2.1","4.2","13152"
"Nolan Arenado","STL","157","653","34","81","105","2","7.7%","14.7%",".239",".249",".255",".312",".494",".336",".311","113","-0.4","10.4","8.8","4.1","9777"
"Matt Chapman","OAK","151","622","27","75","72","3","12.9%","32.5%",".193",".272",".210",".314",".403",".311",".321","102","2.0","3.5","16.4","4.1","16505"
"Jake Cronenworth","SDP","152","643","21","94","71","4","8.6%","14.0%",".194",".283",".266",".340",".460",".341",".344","116","2.1","15.6","3.7","4.1","18036"
"Javier Baez","- - -","138","547","31","80","87","18","5.1%","33.6%",".229",".352",".265",".319",".494",".344",".325","117","3.0","14.9","7.0","4.0","12979"
"Yoan Moncada","CHW","144","616","14","74","61","3","13.6%","25.5%",".148",".350",".263",".375",".412",".347",".353","120","0.3","15.8","3.1","4.0","17232"
"Jeimer Candelario","DET","149","626","16","75","67","0","10.4%","21.6%",".172",".333",".271",".351",".443",".344",".356","120","1.0","16.5","1.2","3.9","13621"
"Enrique Hernandez","BOS","134","585","20","84","60","1","10.4%","18.8%",".199",".278",".250",".337",".449",".338",".346","109","3.0","9.6","9.5","3.9","10472"
"Ozzie Albies","ATL","156","686","30","103","106","20","6.9%","18.7%",".229",".278",".259",".310",".488",".336",".332","107","8.3","14.7","1.1","3.9","16556"
"Mookie Betts","LAD","122","550","23","93","58","10","12.4%","15.6%",".223",".276",".264",".367",".487",".365",".357","130","-1.2","20.2","-0.5","3.8","13611"
"Randy Arozarena","TBR","141","604","20","94","69","20","9.3%","28.1%",".185",".363",".274",".356",".459",".350",".304","128","1.5","21.9","-4.9","3.8","19290"
"Yordan Alvarez","HOU","144","598","33","92","104","1","8.4%","24.2%",".253",".320",".277",".346",".531",".369",".389","137","0.5","27.4","-11.0","3.7","19556"
"Joey Votto","CIN","129","533","36","73","99","1","14.4%","23.8%",".297",".287",".266",".375",".563",".391",".406","139","0.4","26.9","-9.0","3.6","4314"
"Adam Frazier","- - -","155","639","5","83","43","10","7.5%","10.8%",".106",".339",".305",".368",".411",".341",".324","113","-0.1","10.8","3.4","3.6","15223"
"Nick Castellanos","CIN","138","585","34","95","100","3","7.0%","20.7%",".267",".340",".309",".362",".576",".391",".374","139","-0.5","28.5","-13.0","3.5","11737"
"Dansby Swanson","ATL","160","653","27","78","88","9","8.0%","25.6%",".201",".297",".248",".311",".449",".322",".332","99","3.4","2.2","9.6","3.4","18314"
"Jean Segura","PHI","131","567","14","76","58","9","6.9%","13.8%",".146",".317",".290",".348",".436",".338",".319","109","-1.2","5.6","9.0","3.4","5933"
"J.P. Crawford","SEA","160","687","9","89","54","3","8.4%","16.6%",".103",".320",".273",".338",".376",".314",".298","103","-2.7","0.1","9.6","3.3","15491"
"Willy Adames","- - -","140","555","25","77","73","5","10.3%","28.1%",".219",".331",".262",".337",".481",".349",".325","120","0.2","14.4","-0.2","3.3","15986"
"Pete Alonso","NYM","152","637","37","81","94","3","9.4%","19.9%",".257",".274",".262",".344",".519",".363",".377","133","-5.1","21.5","-10.0","3.3","19251"
"Salvador Perez","KCR","161","665","48","88","121","1","4.2%","25.6%",".271",".298",".273",".316",".544",".359",".374","126","-0.8","20.3","-10.3","3.3","7304"
"Yuli Gurriel","HOU","143","605","15","83","81","1","9.8%","11.2%",".143",".336",".319",".383",".462",".363",".326","132","-1.6","22.4","-10.5","3.3","19198"
"Adolis Garcia","TEX","149","622","31","77","90","16","5.1%","31.2%",".212",".306",".243",".286",".454",".314",".299","99","-1.4","-2.4","13.7","3.3","19287"
"Myles Straw","- - -","158","638","4","86","48","30","10.5%","19.0%",".076",".336",".271",".349",".348",".311",".303","97","6.1","3.6","6.4","3.2","17620"
"Ty France","SEA","152","650","18","85","73","0","7.1%","16.3%",".154",".327",".291",".368",".445",".353",".346","130","-2.7","20.9","-11.7","3.1","17982"
"Kris Bryant","- - -","144","586","25","86","73","10","10.6%","23.0%",".216",".313",".265",".353",".481",".356",".346","124","5.4","23.0","-11.8","3.1","15429"
"Mark Canha","OAK","141","625","17","93","61","12","12.3%","20.5%",".156",".274",".231",".358",".387",".333",".332","117","2.0","14.7","-5.2","3.1","11445"
